DateTime,Players,Twitch Viewers
30/01/2019 00:00,3765,696
31/01/2019 00:00,3662,982
01/02/2019 00:00,3610,777
02/02/2019 00:00,3696,805
03/02/2019 00:00,3949,878
04/02/2019 00:00,3532,1103
05/02/2019 00:00,3572,736
06/02/2019 00:00,3464,1002
07/02/2019 00:00,3441,855
08/02/2019 00:00,3362,1560
09/02/2019 00:00,3542,835
10/02/2019 00:00,3777,768
11/02/2019 00:00,3356,862
12/02/2019 00:00,3457,750
13/02/2019 00:00,3389,755
14/02/2019 00:00,3318,965
15/02/2019 00:00,3253,704
16/02/2019 00:00,3455,1152
17/02/2019 00:00,3699,1695
18/02/2019 00:00,3491,1770
19/02/2019 00:00,3402,1158
20/02/2019 00:00,3404,1052
21/02/2019 00:00,3391,1060
22/02/2019 00:00,3298,782
23/02/2019 00:00,3349,906
24/02/2019 00:00,3801,1374
25/02/2019 00:00,3389,923
26/02/2019 00:00,3460,866
27/02/2019 00:00,3341,1460
28/02/2019 00:00,3314,655
01/03/2019 00:00,3342,892
02/03/2019 00:00,3468,905
03/03/2019 00:00,3800,853
04/03/2019 00:00,3440,785
05/03/2019 00:00,3490,784
06/03/2019 00:00,3415,768
07/03/2019 00:00,3271,1024
08/03/2019 00:00,3141,1022
09/03/2019 00:00,3507,733
10/03/2019 00:00,3905,752
11/03/2019 00:00,3398,923
12/03/2019 00:00,3289,890
13/03/2019 00:00,3400,734
14/03/2019 00:00,3332,825
15/03/2019 00:00,3154,863
16/03/2019 00:00,3405,808
17/03/2019 00:00,3692,835
18/03/2019 00:00,3416,898
19/03/2019 00:00,3299,753
20/03/2019 00:00,3267,761
21/03/2019 00:00,3332,1026
22/03/2019 00:00,3205,1103
23/03/2019 00:00,3353,724
24/03/2019 00:00,3642,802
25/03/2019 00:00,3382,1098
26/03/2019 00:00,3265,869
27/03/2019 00:00,3456,879
28/03/2019 00:00,3485,841
29/03/2019 00:00,3270,835
30/03/2019 00:00,3363,739
31/03/2019 00:00,3804,909
01/04/2019 00:00,3471,1103
02/04/2019 00:00,3476,1074
03/04/2019 00:00,3345,980
04/04/2019 00:00,3354,1020
05/04/2019 00:00,3191,699
06/04/2019 00:00,3412,862
07/04/2019 00:00,3612,864
08/04/2019 00:00,3460,1163
09/04/2019 00:00,3379,839
10/04/2019 00:00,3308,754
11/04/2019 00:00,3221,960
12/04/2019 00:00,3202,929
13/04/2019 00:00,3332,831
14/04/2019 00:00,3704,1138
15/04/2019 00:00,3281,1050
16/04/2019 00:00,3228,800
17/04/2019 00:00,3121,769
18/04/2019 00:00,2930,1031
19/04/2019 00:00,2933,986
20/04/2019 00:00,2923,1255
21/04/2019 00:00,3367,874
22/04/2019 00:00,3381,1588
23/04/2019 00:00,3291,1055
24/04/2019 00:00,3175,1037
25/04/2019 00:00,3078,827
26/04/2019 00:00,3105,1005
27/04/2019 00:00,3319,1176
28/04/2019 00:00,3829,900
29/04/2019 00:00,3362,978
30/04/2019 00:00,3147,1081
01/05/2019 00:00,3274,1061
02/05/2019 00:00,3287,905
03/05/2019 00:00,3113,1901
04/05/2019 00:00,3352,884
05/05/2019 00:00,3777,907
06/05/2019 00:00,3143,950
07/05/2019 00:00,3042,722
08/05/2019 00:00,3121,946
09/05/2019 00:00,2865,826
10/05/2019 00:00,2817,1019
11/05/2019 00:00,3053,900
12/05/2019 00:00,3293,773
13/05/2019 00:00,2920,1106
14/05/2019 00:00,3027,970
15/05/2019 00:00,3009,811
16/05/2019 00:00,3034,762
17/05/2019 00:00,2743,904
18/05/2019 00:00,2864,900
19/05/2019 00:00,3426,829
20/05/2019 00:00,3099,820
21/05/2019 00:00,3202,1368
22/05/2019 00:00,3147,975
23/05/2019 00:00,3050,976
24/05/2019 00:00,2843,860
25/05/2019 00:00,3137,748
26/05/2019 00:00,3444,877
27/05/2019 00:00,3114,1226
28/05/2019 00:00,2970,1128
29/05/2019 00:00,2735,766
30/05/2019 00:00,2847,868
31/05/2019 00:00,2648,756
01/06/2019 00:00,2762,632
02/06/2019 00:00,3097,955
03/06/2019 00:00,2732,850
04/06/2019 00:00,2719,893
05/06/2019 00:00,2540,881
06/06/2019 00:00,2589,753
07/06/2019 00:00,2450,848
08/06/2019 00:00,2629,683
09/06/2019 00:00,2789,805
10/06/2019 00:00,2819,1286
11/06/2019 00:00,2535,796
12/06/2019 00:00,2619,865
13/06/2019 00:00,2510,860
14/06/2019 00:00,2484,923
15/06/2019 00:00,2922,985
16/06/2019 00:00,2983,790
17/06/2019 00:00,2718,797
18/06/2019 00:00,2582,813
19/06/2019 00:00,2536,762
20/06/2019 00:00,2608,963
21/06/2019 00:00,2462,813
22/06/2019 00:00,2623,806
23/06/2019 00:00,2886,705
24/06/2019 00:00,2578,844
25/06/2019 00:00,2596,697
26/06/2019 00:00,2617,706
27/06/2019 00:00,2542,768
28/06/2019 00:00,2456,730
29/06/2019 00:00,2575,906
30/06/2019 00:00,2808,710
01/07/2019 00:00,2473,850
02/07/2019 00:00,2667,610
03/07/2019 00:00,2601,779
04/07/2019 00:00,2539,691
05/07/2019 00:00,2629,880
06/07/2019 00:00,2747,1008
07/07/2019 00:00,3148,887
08/07/2019 00:00,2749,783
09/07/2019 00:00,2813,970
10/07/2019 00:00,2778,682
11/07/2019 00:00,2869,838
12/07/2019 00:00,2808,852
13/07/2019 00:00,2913,888
14/07/2019 00:00,3210,1078
15/07/2019 00:00,2917,815
16/07/2019 00:00,2883,647
17/07/2019 00:00,2877,609
18/07/2019 00:00,2729,678
19/07/2019 00:00,2791,732
20/07/2019 00:00,2867,684
21/07/2019 00:00,3172,707
22/07/2019 00:00,2876,774
23/07/2019 00:00,2803,760
24/07/2019 00:00,2657,636
25/07/2019 00:00,2722,729
26/07/2019 00:00,2664,771
27/07/2019 00:00,2773,786
28/07/2019 00:00,2994,758
29/07/2019 00:00,2908,1165
30/07/2019 00:00,2906,1097
31/07/2019 00:00,2937,1180
01/08/2019 00:00,2844,942
02/08/2019 00:00,2811,767
03/08/2019 00:00,3061,737
04/08/2019 00:00,3249,724
05/08/2019 00:00,3043,851
06/08/2019 00:00,3027,636
07/08/2019 00:00,3003,747
08/08/2019 00:00,2952,751
09/08/2019 00:00,2968,696
10/08/2019 00:00,3113,758
11/08/2019 00:00,3368,787
12/08/2019 00:00,3181,988
13/08/2019 00:00,3108,811
14/08/2019 00:00,3049,798
15/08/2019 00:00,3115,817
16/08/2019 00:00,3026,759
17/08/2019 00:00,3222,931
18/08/2019 00:00,3427,830
19/08/2019 00:00,3148,692
20/08/2019 00:00,3083,640
21/08/2019 00:00,2924,584
22/08/2019 00:00,2951,1044
23/08/2019 00:00,2943,593
24/08/2019 00:00,3074,543
25/08/2019 00:00,3329,631
26/08/2019 00:00,3096,528
27/08/2019 00:00,3024,584
28/08/2019 00:00,2991,544
29/08/2019 00:00,3175,648
30/08/2019 00:00,3039,510
31/08/2019 00:00,3003,786
01/09/2019 00:00,3299,706
02/09/2019 00:00,2946,472
03/09/2019 00:00,2922,617
04/09/2019 00:00,2934,600
05/09/2019 00:00,2987,828
06/09/2019 00:00,2942,715
07/09/2019 00:00,3195,632
08/09/2019 00:00,3380,666
09/09/2019 00:00,3051,537
10/09/2019 00:00,3041,812
11/09/2019 00:00,3040,781
12/09/2019 00:00,2974,3772
13/09/2019 00:00,3386,653
14/09/2019 00:00,3576,1046
15/09/2019 00:00,4066,1080
16/09/2019 00:00,3378,668
17/09/2019 00:00,3366,780
18/09/2019 00:00,3324,752
19/09/2019 00:00,3366,768
20/09/2019 00:00,3353,793
21/09/2019 00:00,3706,1905
22/09/2019 00:00,4018,658
23/09/2019 00:00,3607,595
24/09/2019 00:00,3636,720
25/09/2019 00:00,3658,570
26/09/2019 00:00,3625,754
27/09/2019 00:00,3739,947
28/09/2019 00:00,3873,545
29/09/2019 00:00,4203,632
30/09/2019 00:00,3679,1009
01/10/2019 00:00,3513,857
02/10/2019 00:00,3343,539
03/10/2019 00:00,3437,1083
04/10/2019 00:00,3452,877
05/10/2019 00:00,3866,698
06/10/2019 00:00,4270,1107
07/10/2019 00:00,3782,932
08/10/2019 00:00,3886,820
09/10/2019 00:00,3822,1104
10/10/2019 00:00,3787,802
11/10/2019 00:00,3779,762
12/10/2019 00:00,4160,883
13/10/2019 00:00,4382,1469
14/10/2019 00:00,3996,404
15/10/2019 00:00,3824,805
16/10/2019 00:00,3962,998
17/10/2019 00:00,3924,663
18/10/2019 00:00,3948,1566
19/10/2019 00:00,4124,1395
20/10/2019 00:00,4314,874
21/10/2019 00:00,3895,857
22/10/2019 00:00,3851,1127
23/10/2019 00:00,3786,1279
24/10/2019 00:00,3848,1237
25/10/2019 00:00,3848,946
26/10/2019 00:00,4106,663
27/10/2019 00:00,4353,875
28/10/2019 00:00,3812,1028
29/10/2019 00:00,3563,526
30/10/2019 00:00,3562,926
31/10/2019 00:00,3717,554
01/11/2019 00:00,3920,544
02/11/2019 00:00,4120,508
03/11/2019 00:00,4355,829
04/11/2019 00:00,4066,292
05/11/2019 00:00,4120,600
06/11/2019 00:00,4031,507
07/11/2019 00:00,3887,583
08/11/2019 00:00,3806,550
09/11/2019 00:00,4306,441
10/11/2019 00:00,4513,587
11/11/2019 00:00,4028,770
12/11/2019 00:00,3996,579
13/11/2019 00:00,3895,571
14/11/2019 00:00,3897,634
15/11/2019 00:00,3899,627
16/11/2019 00:00,4212,544
17/11/2019 00:00,4600,626
18/11/2019 00:00,4063,609
19/11/2019 00:00,3957,716
20/11/2019 00:00,4071,635
21/11/2019 00:00,4039,784
22/11/2019 00:00,4075,757
23/11/2019 00:00,4456,823
24/11/2019 00:00,4762,1368
25/11/2019 00:00,4285,914
26/11/2019 00:00,4212,865
27/11/2019 00:00,4058,856
28/11/2019 00:00,3942,919
29/11/2019 00:00,4644,1456
30/11/2019 00:00,4661,872
01/12/2019 00:00,5068,1018
02/12/2019 00:00,4133,936
03/12/2019 00:00,3965,988
04/12/2019 00:00,4010,998
05/12/2019 00:00,3886,990
06/12/2019 00:00,4000,1712
07/12/2019 00:00,4334,789
08/12/2019 00:00,4582,894
09/12/2019 00:00,3804,719
10/12/2019 00:00,3956,729
11/12/2019 00:00,3852,674
12/12/2019 00:00,3837,737
13/12/2019 00:00,3828,797
14/12/2019 00:00,3934,1190
15/12/2019 00:00,4181,1167
16/12/2019 00:00,3653,982
17/12/2019 00:00,3801,675
18/12/2019 00:00,3548,628
19/12/2019 00:00,3626,715
20/12/2019 00:00,3569,1069
21/12/2019 00:00,3779,454
22/12/2019 00:00,4057,802
23/12/2019 00:00,3657,587
24/12/2019 00:00,4071,723
25/12/2019 00:00,4100,543
26/12/2019 00:00,3982,639
27/12/2019 00:00,3955,639
28/12/2019 00:00,4083,395
29/12/2019 00:00,4241,619
30/12/2019 00:00,3982,464
31/12/2019 00:00,3710,501
01/01/2020 00:00,3784,780
02/01/2020 00:00,4016,553
03/01/2020 00:00,4220,738
04/01/2020 00:00,4329,542
05/01/2020 00:00,4535,824
06/01/2020 00:00,4283,680
07/01/2020 00:00,4176,549
08/01/2020 00:00,4161,538
09/01/2020 00:00,3964,568
10/01/2020 00:00,4041,724
11/01/2020 00:00,4170,556
12/01/2020 00:00,4529,744
13/01/2020 00:00,3763,500
14/01/2020 00:00,3778,602
15/01/2020 00:00,3675,684
16/01/2020 00:00,3592,641
17/01/2020 00:00,3581,776
18/01/2020 00:00,3579,631
19/01/2020 00:00,4058,797
20/01/2020 00:00,3327,605
21/01/2020 00:00,3463,519
22/01/2020 00:00,3301,652
23/01/2020 00:00,3201,557
24/01/2020 00:00,3030,539
25/01/2020 00:00,3359,4889
26/01/2020 00:00,3770,5320
27/01/2020 00:00,3432,4794
28/01/2020 00:00,3723,567
29/01/2020 00:00,3787,598
30/01/2020 00:00,3799,509
31/01/2020 00:00,3909,4171
01/02/2020 00:00,4433,5514
02/02/2020 00:00,4830,527
03/02/2020 00:00,4241,671
04/02/2020 00:00,4460,626
05/02/2020 00:00,4457,562
06/02/2020 00:00,5035,574
07/02/2020 00:00,5215,628
08/02/2020 00:00,5734,507
09/02/2020 00:00,6155,638
10/02/2020 00:00,5684,490
11/02/2020 00:00,5705,530
12/02/2020 00:00,5628,592
13/02/2020 00:00,5610,523
14/02/2020 00:00,5850,599
15/02/2020 00:00,6246,472
16/02/2020 00:00,6632,579
17/02/2020 00:00,5971,378
18/02/2020 00:00,5999,551
19/02/2020 00:00,6229,568
20/02/2020 00:00,6317,503
21/02/2020 00:00,6272,436
22/02/2020 00:00,6859,454
23/02/2020 00:00,7194,587
24/02/2020 00:00,6890,579
25/02/2020 00:00,6677,499
26/02/2020 00:00,6683,504
27/02/2020 00:00,6711,488
28/02/2020 00:00,6740,617
29/02/2020 00:00,7772,1163
01/03/2020 00:00,7709,736
02/03/2020 00:00,7094,1098
03/03/2020 00:00,7026,1055
04/03/2020 00:00,6962,671
05/03/2020 00:00,6766,917
06/03/2020 00:00,6950,629
07/03/2020 00:00,7292,558
08/03/2020 00:00,7424,595
09/03/2020 00:00,6965,465
10/03/2020 00:00,6963,628
11/03/2020 00:00,6667,488
12/03/2020 00:00,6834,546
13/03/2020 00:00,6786,609
14/03/2020 00:00,6992,600
15/03/2020 00:00,7329,1022
16/03/2020 00:00,6878,661
17/03/2020 00:00,6823,532
18/03/2020 00:00,6860,445
19/03/2020 00:00,6960,563
20/03/2020 00:00,6662,524
21/03/2020 00:00,7175,440
22/03/2020 00:00,7577,575
23/03/2020 00:00,7126,423
24/03/2020 00:00,6869,604
25/03/2020 00:00,6868,652
26/03/2020 00:00,6946,964
27/03/2020 00:00,6906,901
28/03/2020 00:00,7118,551
29/03/2020 00:00,7811,720
30/03/2020 00:00,7622,671
31/03/2020 00:00,7816,527
01/04/2020 00:00,7527,745
02/04/2020 00:00,7631,589
03/04/2020 00:00,7464,694
04/04/2020 00:00,7994,665
05/04/2020 00:00,8582,705
06/04/2020 00:00,7929,664
07/04/2020 00:00,7884,611
08/04/2020 00:00,7883,577
09/04/2020 00:00,7920,638
10/04/2020 00:00,8156,761
11/04/2020 00:00,8384,779
12/04/2020 00:00,8522,676
13/04/2020 00:00,8567,818
14/04/2020 00:00,8854,716
15/04/2020 00:00,8239,776
16/04/2020 00:00,8072,705
17/04/2020 00:00,8019,485
18/04/2020 00:00,8366,867
19/04/2020 00:00,8686,2040
20/04/2020 00:00,8250,857
21/04/2020 00:00,8214,761
22/04/2020 00:00,7982,699
23/04/2020 00:00,7979,791
24/04/2020 00:00,7760,525
25/04/2020 00:00,8110,761
26/04/2020 00:00,8435,645
27/04/2020 00:00,7701,828
28/04/2020 00:00,7659,601
29/04/2020 00:00,7600,1682
30/04/2020 00:00,7043,619
01/05/2020 00:00,7169,640
02/05/2020 00:00,7132,691
03/05/2020 00:00,7462,960
04/05/2020 00:00,6855,535
05/05/2020 00:00,7242,725
06/05/2020 00:00,7158,723
07/05/2020 00:00,7064,724
08/05/2020 00:00,6947,601
09/05/2020 00:00,6743,578
10/05/2020 00:00,7169,886
11/05/2020 00:00,7159,586
12/05/2020 00:00,7035,727
13/05/2020 00:00,6922,727
14/05/2020 00:00,6917,652
15/05/2020 00:00,6544,743
16/05/2020 00:00,6876,849
17/05/2020 00:00,7296,680
18/05/2020 00:00,6638,804
19/05/2020 00:00,6809,648
20/05/2020 00:00,6515,679
21/05/2020 00:00,6624,730
22/05/2020 00:00,7526,751
23/05/2020 00:00,7689,732
24/05/2020 00:00,8273,933
25/05/2020 00:00,6880,720
26/05/2020 00:00,6772,726
27/05/2020 00:00,6535,1533
28/05/2020 00:00,6454,746
