"DateTime","Players","Flags","Twitch Viewers"
"2018-02-12 00:00:00",1754,,375
"2018-02-13 00:00:00",1440,,1669
"2018-02-14 00:00:00",1373,,386
"2018-02-15 00:00:00",1447,,1631
"2018-02-16 00:00:00",1891,,1531
"2018-02-17 00:00:00",2322,,1427
"2018-02-18 00:00:00",2201,,486
"2018-02-19 00:00:00",1945,,256
"2018-02-20 00:00:00",1584,,251
"2018-02-21 00:00:00",1362,,237
"2018-02-22 00:00:00",1312,,9183
"2018-02-23 00:00:00",1589,,3762
"2018-02-24 00:00:00",2012,,1143
"2018-02-25 00:00:00",1890,,536
"2018-02-26 00:00:00",1500,,1091
"2018-02-27 00:00:00",1195,,937
"2018-02-28 00:00:00",1123,,342
"2018-03-01 00:00:00",1130,,623
"2018-03-02 00:00:00",1434,,216
"2018-03-03 00:00:00",1845,,306
"2018-03-04 00:00:00",1717,,1102
"2018-03-05 00:00:00",1399,,971
"2018-03-06 00:00:00",1052,,194
"2018-03-07 00:00:00",1061,,501
"2018-03-08 00:00:00",1063,,309
"2018-03-09 00:00:00",1330,,330
"2018-03-10 00:00:00",1744,,603
"2018-03-11 00:00:00",1619,,466
"2018-03-12 00:00:00",1317,,856
"2018-03-13 00:00:00",1104,,360
"2018-03-14 00:00:00",1068,,441
"2018-03-15 00:00:00",1075,,350
"2018-03-16 00:00:00",1268,,1277
"2018-03-17 00:00:00",1654,,366
"2018-03-18 00:00:00",1503,,456
"2018-03-19 00:00:00",1230,,1565
"2018-03-20 00:00:00",1040,,317
"2018-03-21 00:00:00",1155,,458
"2018-03-22 00:00:00",1094,,659
"2018-03-23 00:00:00",1287,,523
"2018-03-24 00:00:00",1597,,422
"2018-03-25 00:00:00",1482,,241
"2018-03-26 00:00:00",1223,,1171
"2018-03-27 00:00:00",995,,346
"2018-03-28 00:00:00",1031,,340
"2018-03-29 00:00:00",1139,,2397
"2018-03-30 00:00:00",1405,,149
"2018-03-31 00:00:00",1451,,722
"2018-04-01 00:00:00",1493,,4458
"2018-04-02 00:00:00",1219,,278
"2018-04-03 00:00:00",941,,388
"2018-04-04 00:00:00",932,,205
"2018-04-05 00:00:00",951,,876
"2018-04-06 00:00:00",1098,,407
"2018-04-07 00:00:00",1433,,602
"2018-04-08 00:00:00",1333,,2038
"2018-04-09 00:00:00",1051,,271
"2018-04-10 00:00:00",860,,403
"2018-04-11 00:00:00",871,,561
"2018-04-12 00:00:00",878,,188
"2018-04-13 00:00:00",1163,,951
"2018-04-14 00:00:00",1605,,658
"2018-04-15 00:00:00",1545,,402
"2018-04-16 00:00:00",1250,,205
"2018-04-17 00:00:00",1016,,332
"2018-04-18 00:00:00",953,,281
"2018-04-19 00:00:00",867,,195
"2018-04-20 00:00:00",965,,483
"2018-04-21 00:00:00",1366,,154
"2018-04-22 00:00:00",1275,,294
"2018-04-23 00:00:00",980,,209
"2018-04-24 00:00:00",816,,302
"2018-04-25 00:00:00",821,,329
"2018-04-26 00:00:00",831,,198
"2018-04-27 00:00:00",966,,159
"2018-04-28 00:00:00",1271,,2463
"2018-04-29 00:00:00",1268,,353
"2018-04-30 00:00:00",988,,182
"2018-05-01 00:00:00",865,,191
"2018-05-02 00:00:00",783,,811
"2018-05-03 00:00:00",714,,306
"2018-05-04 00:00:00",877,,189
"2018-05-05 00:00:00",1208,,503
"2018-05-06 00:00:00",1172,,829
"2018-05-07 00:00:00",954,,200
"2018-05-08 00:00:00",775,,902
"2018-05-09 00:00:00",754,,308
"2018-05-10 00:00:00",767,,565
"2018-05-11 00:00:00",885,,1056
"2018-05-12 00:00:00",1163,,443
"2018-05-13 00:00:00",1134,,898
"2018-05-14 00:00:00",915,,1133
"2018-05-15 00:00:00",776,,604
"2018-05-16 00:00:00",790,,952
"2018-05-17 00:00:00",797,,272
"2018-05-18 00:00:00",923,,850
"2018-05-19 00:00:00",1231,,808
"2018-05-20 00:00:00",1248,,240
"2018-05-21 00:00:00",943,,1081
"2018-05-22 00:00:00",789,,1047
"2018-05-23 00:00:00",761,,265
"2018-05-24 00:00:00",783,,463
"2018-05-25 00:00:00",1003,,188
"2018-05-26 00:00:00",1212,,733
"2018-05-27 00:00:00",1185,,291
"2018-05-28 00:00:00",1044,,614
"2018-05-29 00:00:00",884,,753
"2018-05-30 00:00:00",815,,461
"2018-05-31 00:00:00",827,,776
"2018-06-01 00:00:00",925,,1577
"2018-06-02 00:00:00",1171,,1257
"2018-06-03 00:00:00",1100,,730
"2018-06-04 00:00:00",881,,637
"2018-06-05 00:00:00",791,,502
"2018-06-06 00:00:00",791,,241
"2018-06-07 00:00:00",778,,607
"2018-06-08 00:00:00",886,,888
"2018-06-09 00:00:00",1109,,169
"2018-06-10 00:00:00",1081,,152
"2018-06-11 00:00:00",1078,,1067
"2018-06-12 00:00:00",998,,991
"2018-06-13 00:00:00",1008,,1393
"2018-06-14 00:00:00",996,,619
"2018-06-15 00:00:00",1119,,1027
"2018-06-16 00:00:00",1294,,939
"2018-06-17 00:00:00",1236,,235
"2018-06-18 00:00:00",1017,,1123
"2018-06-19 00:00:00",985,,1204
"2018-06-20 00:00:00",958,,1130
"2018-06-21 00:00:00",1075,,445
"2018-06-22 00:00:00",1539,,242
"2018-06-23 00:00:00",1946,,586
"2018-06-24 00:00:00",1912,,259
"2018-06-25 00:00:00",1600,,860
"2018-06-26 00:00:00",1453,,364
"2018-06-27 00:00:00",1398,,477
"2018-06-28 00:00:00",1307,,183633
"2018-06-29 00:00:00",1430,,2030
"2018-06-30 00:00:00",1612,,3224
"2018-07-01 00:00:00",1610,,440
"2018-07-02 00:00:00",1382,,840
"2018-07-03 00:00:00",1282,,1234
"2018-07-04 00:00:00",1514,,358
"2018-07-05 00:00:00",1467,,900
"2018-07-06 00:00:00",1462,,1313
"2018-07-07 00:00:00",1447,,4494
"2018-07-08 00:00:00",1444,,1639
"2018-07-09 00:00:00",1301,,2008
"2018-07-10 00:00:00",1133,,1096
"2018-07-11 00:00:00",1097,,1007
"2018-07-12 00:00:00",1028,,519
"2018-07-13 00:00:00",1102,,853
"2018-07-14 00:00:00",1297,,925
"2018-07-15 00:00:00",1260,,10472
"2018-07-16 00:00:00",1106,,10741
"2018-07-17 00:00:00",1036,,10024
"2018-07-18 00:00:00",1030,,485
"2018-07-19 00:00:00",1016,,406
"2018-07-20 00:00:00",1091,,351
"2018-07-21 00:00:00",1199,,13017
"2018-07-22 00:00:00",1236,,337
"2018-07-23 00:00:00",1048,,195
"2018-07-24 00:00:00",946,,775
"2018-07-25 00:00:00",907,,547
"2018-07-26 00:00:00",900,,695
"2018-07-27 00:00:00",926,,6075
