,Country/Region,Province,Date,Type,Reference,Lat,Lng
186,Nigeria,,3/25/20,Full,https://uk.reuters.com/article/uk-health-coronavirus-nigeria-security/nigerian-army-prepares-for-coronavirus-lockdown-mass-burials-idUKKBN21C2BL,9.081999,8.675277
187,North Macedonia,,3/18/20,Full,https://balkaninsight.com/2020/03/19/volunteers-help-north-macedonias-elderly-survive-lockdown/,41.608635,21.745275
188,Norway,,3/12/20,Full,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter,60.47202399999999,8.468945999999999
189,Oman,,3/29/20,Partial,https://www.omanobserver.om/oman-to-suspend-all-domestic-and-international-flights-from-sunday612586-2/,21.4735329,55.975413
190,Pakistan,,3/26/20,Full,https://sourcingjournal.com/topics/sourcing/pakistan-coronavirus-lockdown-garment-factories-closed-synergies-worldwide-levis-202444/,30.375321,69.34511599999999
191,Palestine,,3/5/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_State_of_Palestine,31.952162,35.233154
192,Panama,,3/25/20,Full,https://news.yahoo.com/panama-orders-lockdown-paraguay-closes-borders-072748034.html,8.537981,-80.782127
193,Papua New Guinea,,,None,,-6.314992999999999,143.95555
194,Paraguay,,3/15/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Paraguay,-23.442503,-58.443832
195,Peru,,3/10/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Peru,-9.189967,-75.015152
196,Philippines,,3/16/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Philippines,12.879721,121.774017
197,Poland,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland,51.919438,19.145136
198,Portugal,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Portugal,39.39987199999999,-8.224454
199,Qatar,,3/11/20,Full,https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison,25.354826,51.183884
200,Romania,,3/25/20,Full,https://www.garda.com/crisis24/news-alerts/326626/romania-government-announces-lockdown-measures-on-march-25-update-2,45.943161,24.96676
201,Russia,,3/27/20,Full,https://www.independent.co.uk/news/world/europe/coronavirus-russia-lockdown-putin-cases-latest-a9429601.html,61.52401,105.318756
202,Rwanda,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rwanda,-1.940278,29.873888
203,Saint Kitts and Nevis,,,None,,17.357822,-62.782998
204,Saint Lucia,,3/20/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saint_Lucia,13.909444,-60.978893
205,Saint Vincent and the Grenadines,,,None,,12.984305,-61.287228
206,San Marino,,3/9/20,Full,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown,43.94236,12.457777
207,Saudi Arabia,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saudi_Arabia,23.885942,45.079162
208,Senegal,,3/24/20,Partial,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html,14.497401,-14.452362
209,Serbia,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia,44.016521,21.005859
210,Seychelles,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Seychelles,-4.679574,55.491977
211,Sierra Leone,,,None,,8.460555,-11.779889
212,Singapore,,3/26/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore,1.352083,103.819836
213,Slovakia,,3/9/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovakia,48.669026,19.699024
214,Slovenia,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,46.151241,14.995463
215,Somalia,,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia,5.152149,46.199616
216,South Africa,,3/26/20,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html,-30.559482,22.937506
217,Spain,,3/14/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7,40.46366700000001,-3.74922
218,Sri Lanka,,3/21/20,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html,7.873053999999999,80.77179699999999
219,Sudan,,,None,,12.862807,30.217636
220,Suriname,,,None,,3.919305,-56.027783
221,Sweden,,,None,,60.12816100000001,18.643501
222,Switzerland,,3/18/20,Full,https://www.cnnmoney.ch/shows/big-picture/videos/switzerland-desperate-race-stay-ahead-coronavirus,46.818188,8.227511999999999
223,Syria,,3/14/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Syria,34.80207499999999,38.996815
224,Taiwan*,,2/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan,23.69781,120.960515
225,Tanzania,,,None,,-6.369028,34.888822
226,Thailand,,3/22/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Thailand,15.870032,100.992541
227,Timor-Leste,,,None,,-8.874217,125.727539
228,Togo,,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Togo,8.619543,0.824782
229,Trinidad and Tobago,,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Trinidad_and_Tobago,10.691803,-61.222503
230,Tunisia,,3/20/20,Full,https://www.france24.com/en/20200320-tunisia-orders-general-lockdown-in-bid-to-contain-coronavirus,33.886917,9.537499
231,Turkey,,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey,38.963745,35.243322
232,Uganda,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uganda,1.373333,32.290275
233,Ukraine,,3/17/20,Full,https://www.ukrinform.net/rubric-society/2899162-ten-facts-about-coronavirus-lockdown-in-ukraine.html,48.379433,31.1655799
234,United Arab Emirates,,3/24/20,Full,https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM,23.424076,53.847818
235,United Kingdom,Anguilla,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Anguilla,18.220554,-63.06861499999999
236,United Kingdom,Bermuda,,None,,32.3078,-64.7505
237,United Kingdom,British Virgin Islands,,None,,18.420695,-64.639968
238,United Kingdom,Cayman Islands,,None,,19.3133,-81.2546
239,United Kingdom,Channel Islands,,None,,34.0069361,-119.778533
240,United Kingdom,Gibraltar,3/24/20,Full,https://www.theolivepress.es/spain-news/2020/03/22/full-lockdown-in-gibraltar-from-tuesday-morning-as-coronavirus-spikes/,36.140751,-5.353585
241,United Kingdom,Isle of Man,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Isle_of_Man,54.236107,-4.548056
242,United Kingdom,Montserrat,,None,,16.742498,-62.187366
243,United Kingdom,Turks and Caicos Islands,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Turks_and_Caicos_Islands,21.694025,-71.797928
244,United Kingdom,,3/23/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7,55.378051,-3.435973
245,Uruguay,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uruguay,-32.522779,-55.765835
246,US,Alabama,4/4/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States,32.3182314,-86.902298
